GAIA_English.Colorado_TA2_20220211.ttl	claim_L0C04ATRA_7	Asian clothing makers, like Japan’s Uniqlo, are now working on creating more breathable masks for use in hot weather, hoping to quickly curb the increase of cases	Non-Pharmaceutical Interventions (NPIs): Masks	Places where wearing masks is necessary to prevent the spread of COVID-19	['Wearing masks is necessary in location/GPE/facility-x']
GAIA_English.Colorado_TA2_20220211.ttl	claim_L0C04958U_9	the virus came from nature	Transmitting the virus	What transmits COVID-19	['X transmits / transfers COVID-19']
GAIA_English.Colorado_TA2_20220211.ttl	claim_L0C049P55_4	Bats are not to blame for coronavirus	Transmitting the virus	What transmits COVID-19	['X transmits / transfers COVID-19']
GAIA_English.Colorado_TA2_20220211.ttl	claim_L0C04CA6M_0	The Chinese and foreign experts considered several ideas for how the disease first ended up in humans, leading to a pandemic that has now killed more than 2.3 million people worldwide	Contracting the virus	Who can contract COVID-19	['X can catch COVID-19']
GAIA_English.Colorado_TA2_20220211.ttl	claim_L0C04CV8E_0	Some of the institutions have turned into death traps	Contracting the virus	Who can contract COVID-19	['X can catch COVID-19']
GAIA_English.Colorado_TA2_20220211.ttl	claim_L0C04958N_1	initial signs indicated the virus originated from wild animals sold at a seafood market in Wuhan	Transmitting the virus	What transmits COVID-19	['X transmits / transfers COVID-19']
GAIA_English.Colorado_TA2_20220211.ttl	claim_L0C04ATRA_0	It’s an odd and uncomfortable modification to life, especially as temperatures climb in the Bay Area, and wearing a mask gets annoying	Non-Pharmaceutical Interventions (NPIs): Masks	Harmful effects of wearing masks	['Wearing masks has X negative effect']
GAIA_English.Colorado_TA2_20220211.ttl	claim_L0C04ATMB_0	These bacteria complicate both influenza and COVID-19, often leading to death	Transmitting the virus	What transmits COVID-19	['X transmits / transfers COVID-19']
GAIA_English.Colorado_TA2_20220211.ttl	claim_L0C04ATJI_6	pet testing remains rare, it’s unclear how many cats and dogs have been infected with SARS-CoV-2	Contracting the virus	Who can contract COVID-19	['X can catch COVID-19']
GAIA_English.Colorado_TA2_20220211.ttl	claim_L0C04ATJP_8	fur can spread the virus and if so how to decontaminate it	Transmitting the virus	What transmits COVID-19	['X transmits / transfers COVID-19']
GAIA_English.Colorado_TA2_20220211.ttl	claim_L0C04CA5M_7	statewide mask mandates slow the spread of the coronavirus	Non-Pharmaceutical Interventions (NPIs): Masks	Places where wearing masks is necessary to prevent the spread of COVID-19	['Wearing masks is necessary in location/GPE/facility-x']
GAIA_English.Colorado_TA2_20220211.ttl	claim_L0C049DSG_0	laboratory was, and how suspicious they were in the way they were developing a virus that could be transmitted to humans, we never pulled that money	Contracting the virus	Who can contract COVID-19	['X can catch COVID-19']
GAIA_English.Colorado_TA2_20220211.ttl	claim_L0C049PEH_1	people who are healthy wear a facemask to protect themselves from respiratory diseases	Non-Pharmaceutical Interventions (NPIs): Masks	Harmful effects of wearing masks	['Wearing masks has X negative effect']
GAIA_English.Colorado_TA2_20220211.ttl	claim_L0C04ATJ7_1	men dying in higher numbers than women—and are both sexes being similarly affected	Contracting the virus	Who can contract COVID-19	['X can catch COVID-19']
GAIA_English.Colorado_TA2_20220211.ttl	claim_L0C04ATIW_6	correctional facilities were being put at extraordinary risk for the highly infectious COVID-19 disease due to required proximity of inmates and guards	Contracting the virus	Who can contract COVID-19	['X can catch COVID-19']
GAIA_English.Colorado_TA2_20220211.ttl	claim_L0C04ATPA_0	up in bed and they are breathing without help	Contracting the virus	Who can contract COVID-19	['X can catch COVID-19']
GAIA_English.Colorado_TA2_20220211.ttl	claim_L0C049PJU_1	The World Health Organization has said the new coronavirus and COVID-19, the respiratory disease it causes	Origin of the Virus	Where the first case of COVID-19 occurred	['The first case of COVID-19 occurred in location-X']
GAIA_English.Colorado_TA2_20220211.ttl	claim_L0C04ATJY_0	This recent development has fast-tracked the recent requirement for wearing masks while indoors	Non-Pharmaceutical Interventions (NPIs): Masks	Places where wearing masks is necessary to prevent the spread of COVID-19	['Wearing masks is necessary in location/GPE/facility-x']
GAIA_English.Colorado_TA2_20220211.ttl	claim_L0C04ATIX_0	Doctors seeking for a cure to treat the dreadful virus were amazed 	Origin of the Virus	Where the first case of COVID-19 occurred	['The first case of COVID-19 occurred in location-X']
GAIA_English.Colorado_TA2_20220211.ttl	claim_L0C04CVF6_0	the results were unable to be duplicated	Contracting the virus	Who can contract COVID-19	['X can catch COVID-19']
